门店名称,大类名称,子类名称,菜品编码,菜品短编码,菜品名称,规格,出品分量(kg),损耗,物料单位,物料号,物料描述,单位
加拿大二店,锅底类,拼锅类,1060061,13105,清油麻辣火锅,四宫格,,,,3000759,清油底料（300G*40包/件）,锅
加拿大二店,锅底类,拼锅类,1060061,10004,清油麻辣火锅,单锅,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
加拿大二店,锅底类,拼锅类,1060061,13061,清油麻辣火锅,拼锅,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
加拿大二店,锅底类,拼锅类,1060061,13105,清油麻辣火锅,四宫格,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
加拿大二店,锅底类,单锅类,1060064,10090,经典麻辣火锅,单锅,,,,3003393,清油麻辣火锅底料（250G*30包/件）_加拿大版,锅
加拿大二店,锅底类,单锅类,1060064,13064,经典麻辣火锅,拼锅,,,,3003393,清油麻辣火锅底料（250G*30包/件）_加拿大版,锅
加拿大二店,锅底类,单锅类,1060064,13104,经典麻辣火锅,四宫格,,,,3003393,清油麻辣火锅底料（250G*30包/件）_加拿大版,锅
加拿大二店,锅底类,单锅类,1060064,10090,经典麻辣火锅,单锅,,,,1003028,牛油（20KG/件）,锅
加拿大二店,锅底类,单锅类,1060064,13064,经典麻辣火锅,拼锅,,,,1003028,牛油（20KG/件）,锅
加拿大二店,锅底类,单锅类,1060064,13104,经典麻辣火锅,四宫格,,,,1003028,牛油（20KG/件）,锅
